,n_clusters,percent_clustered,sil_score,pielou_evenness,runtime,prediction_data,min_cluster_size,min_samples,random_seed
40,3,100.0,-0.07705799,0.5351194664468494,13.79963755607605,True,250,50,1
41,3,100.0,0.07275938,0.5036261063886396,14.341253995895386,True,250,100,1
42,2,100.0,0.2530865,0.621243891799432,14.670276403427124,True,250,150,1
43,2,100.0,0.21939066,0.6717406202466588,15.237656354904175,True,250,200,1
44,3,100.0,0.25671098,0.6453075508488685,15.427460193634033,True,250,250,1
45,2,100.0,0.28439078,0.43737831161252094,15.602743864059448,True,250,300,1
46,2,100.0,0.33809188,0.5040360537636532,15.927180528640747,True,250,350,1
47,2,100.0,0.35033336,0.5402478532616667,16.35759997367859,True,250,400,1
48,2,100.0,0.3516022,0.5436554659326217,16.84376835823059,True,250,450,1
49,2,100.0,0.4388289,0.49358501583784975,17.065188884735107,True,250,500,1
50,2,100.0,0.27256268,0.4527527189170186,14.11202621459961,True,300,50,1
51,2,100.0,0.29679316,0.4356467198318365,14.416532039642334,True,300,100,1
52,2,100.0,0.16855426,0.7591715626333984,14.889622688293457,True,300,150,1
53,2,100.0,0.3544405,0.5168551299132832,14.949174404144287,True,300,200,1
54,3,100.0,0.29081377,0.6202733009151313,16.355769395828247,True,300,250,1
55,2,100.0,0.25394556,0.6535240679845737,17.756342887878418,True,300,300,1
56,2,100.0,0.26602218,0.5885027928022851,16.38541531562805,True,300,350,1
57,2,100.0,0.43587112,0.47621734834344615,17.025278091430664,True,300,400,1
58,2,100.0,0.35974216,0.5556688547005636,16.644708395004272,True,300,450,1
59,2,100.0,0.29871354,0.5224115021995834,17.036604404449463,True,300,500,1
60,2,100.0,0.1975789,0.6904265729358663,14.091188430786133,True,350,50,1
61,2,100.0,0.15763256,0.6105431115957357,14.337811708450317,True,350,100,1
62,2,100.0,0.2524412,0.6105431115957357,14.629174709320068,True,350,150,1
63,2,100.0,0.19829889,0.5294105730433786,15.843663930892944,True,350,200,1
64,3,100.0,0.19172582,0.521586783522479,15.69579815864563,True,350,250,1
65,2,100.0,0.26970282,0.6105431115957357,15.504348993301392,True,350,300,1
66,2,100.0,0.4304544,0.4356467198318365,16.18594980239868,True,350,350,1
67,2,100.0,0.37406033,0.5639353361366848,16.619115114212036,True,350,400,1
68,2,100.0,0.22029313,0.5952060579448152,16.645046710968018,True,350,450,1
69,2,100.0,0.38102993,0.6033652146506806,16.836615085601807,True,350,500,1
70,2,100.0,0.15204133,0.7748400610756427,13.710942029953003,True,400,50,1
71,2,100.0,0.23641826,0.5417106353949688,15.078198194503784,True,400,100,1
72,2,100.0,0.2303849,0.5417106353949688,15.496639966964722,True,400,150,1
73,2,100.0,0.25058776,0.6317383290818467,15.24373722076416,True,400,200,1
74,3,100.0,0.1839679,0.6464563656010036,15.266568899154663,True,400,250,1
75,2,100.0,0.36097652,0.5443831489024278,15.494454622268677,True,400,300,1
76,2,100.0,0.298387,0.6317383290818467,15.885510206222534,True,400,350,1
77,2,100.0,0.31540418,0.5920877278554575,15.854055643081665,True,400,400,1
78,2,100.0,0.37212834,0.604677194609446,16.424346446990967,True,400,450,1
79,2,100.0,0.37569124,0.61634744764883,17.297674417495728,True,400,500,1
80,2,100.0,0.15825072,0.8095949634384997,14.614987134933472,True,450,50,1
81,2,100.0,0.1980669,0.7363862727034197,14.270210266113281,True,450,100,1
82,2,100.0,0.12644634,0.5537629830748815,14.650441408157349,True,450,150,1
83,2,100.0,0.23386168,0.4356467198318365,15.063831567764282,True,450,200,1
84,3,100.0,0.17294122,0.5127073027994719,15.41645336151123,True,450,250,1
85,2,100.0,0.34551388,0.5566194901383862,15.789707660675049,True,450,300,1
86,2,100.0,0.352442,0.2899674822894782,15.759470462799072,True,450,350,1
