match_id,start_time,win,hero_id,account_id,leaguename,kills,deaths,assists,gold,last_hits,denies,gold_per_min,xp_per_min,gold_spent,hero_damage,tower_damage,hero_healing,level,stuns,obs_placed,sen_placed,creeps_stacked,camps_stacked,rune_pickups,lane,lane_role,is_roaming,firstblood_claimed,teamfight_participation,towers_killed,roshans_killed
4141494138,1538140457,false,49,87586992,World Electronic Sports Games 2018-2019,3,3,5,2800,256,9,440,465,13915,13349,2771,0,21,30.7168,1,0,1,1,3,2,2,,0,0.470588,2,0
4141494138,1538140457,false,7,112250781,World Electronic Sports Games 2018-2019,2,8,10,531,39,4,225,306,7285,8422,15,0,16,61.201,1,0,0,0,5,3,3,,0,0.705882,0,0
4141494138,1538140457,false,95,89269794,World Electronic Sports Games 2018-2019,6,6,5,37,307,9,511,546,19165,17563,325,0,22,8.02734,1,0,2,1,4,1,1,,0,0.647059,0,1
4141494138,1538140457,false,112,93552791,World Electronic Sports Games 2018-2019,1,11,5,674,50,1,251,283,8460,10064,0,1272,15,19.2844,15,15,3,1,1,1,1,,0,0.352941,0,0
4141494138,1538140457,true,75,90125566,World Electronic Sports Games 2018-2019,2,4,16,2651,36,3,284,354,8685,13189,0,0,18,0,14,17,0,0,8,3,1,,0,0.486486,0,0
4141494138,1538140457,true,84,96196828,World Electronic Sports Games 2018-2019,2,2,14,811,92,15,368,458,12850,11373,320,0,20,38.4248,0,0,0,0,3,1,3,,0,0.432432,0,0
4141494138,1538140457,true,10,113995822,World Electronic Sports Games 2018-2019,11,2,11,4556,345,14,682,692,24420,20832,14594,0,25,9.06421,0,0,0,0,4,3,1,,0,0.594595,6,1
4141494138,1538140457,true,110,295697470,World Electronic Sports Games 2018-2019,1,7,14,1536,67,5,314,331,9205,10742,0,5848,17,0,2,1,0,0,4,1,3,,0,0.405405,0,0
4141494138,1538140457,true,19,11865327,World Electronic Sports Games 2018-2019,21,2,7,3558,245,13,640,734,22440,39373,4938,0,25,55.1887,2,0,1,1,10,2,2,,0,0.756757,2,0
4143063290,1538219217,false,22,480412663,World Electronic Sports Games 2018-2019,5,6,6,2214,153,3,414,486,10250,24176,250,0,19,7.58762,2,0,2,1,4,2,2,,0,0.733333,0,0
4143063290,1538219217,false,109,346392468,World Electronic Sports Games 2018-2019,1,4,6,1,302,2,501,406,15185,10703,1790,0,17,0,0,0,0,0,0,3,1,,0,0.466667,2,0
4143063290,1538219217,false,31,79809603,World Electronic Sports Games 2018-2019,2,5,6,1338,20,2,220,330,5450,10455,13,0,15,0,13,12,0,0,1,3,1,,0,0.533333,0,0
4143063290,1538219217,false,110,196879301,World Electronic Sports Games 2018-2019,3,7,6,2,51,2,288,391,7535,9231,0,1082,16,2.03284,1,0,3,1,2,1,3,,0,0.6,0,0
4143063290,1538219217,false,96,337493609,World Electronic Sports Games 2018-2019,4,4,7,1940,121,14,338,356,8750,11181,550,0,16,50.6885,0,0,2,2,1,1,3,,0,0.733333,1,0
4143063290,1538219217,true,45,132739889,World Electronic Sports Games 2018-2019,9,0,15,1539,180,8,552,595,16840,22684,7700,1468,21,0,0,0,0,0,12,2,2,,0,0.884615,3,0
4143063290,1538219217,true,97,113331514,World Electronic Sports Games 2018-2019,5,3,8,2195,113,28,411,430,11360,6165,330,0,17,14.3788,0,0,9,1,5,3,3,,0,0.5,1,0
4143063290,1538219217,true,95,175463659,World Electronic Sports Games 2018-2019,6,3,10,4073,344,17,759,656,21520,18475,9103,0,22,4.54883,0,0,3,1,4,1,1,,0,0.615385,4,1
4143063290,1538219217,true,21,145065875,World Electronic Sports Games 2018-2019,3,5,7,2,106,2,379,399,10540,8484,930,0,17,36.1552,2,1,9,3,8,3,3,,0,0.384615,0,0
4143063290,1538219217,true,111,93473848,World Electronic Sports Games 2018-2019,3,4,14,1727,9,2,303,428,7900,7577,0,11524,17,20.5847,13,9,12,3,5,1,1,,1,0.653846,0,0
4143154792,1538222465,false,9,337493609,World Electronic Sports Games 2018-2019,2,1,7,1051,83,5,373,345,8015,5547,464,192,13,26.7121,0,0,2,1,5,1,3,,0,0.75,1,0
4143154792,1538222465,false,31,79809603,World Electronic Sports Games 2018-2019,2,3,3,1435,20,8,254,345,4330,8970,164,0,13,0,8,5,0,0,0,3,1,,0,0.416667,0,0
4143154792,1538222465,false,17,480412663,World Electronic Sports Games 2018-2019,4,3,3,1834,126,6,401,362,7940,7364,0,32,13,6.63171,2,0,1,1,5,2,2,,0,0.583333,0,0
4143154792,1538222465,false,7,196879301,World Electronic Sports Games 2018-2019,1,3,6,4,47,0,241,286,5010,6736,0,0,11,43.3228,1,0,0,0,0,2,2,,1,0.583333,0,0
4143154792,1538222465,false,70,346392468,World Electronic Sports Games 2018-2019,3,3,4,3,128,6,381,398,6455,5903,0,0,14,0,0,0,0,0,1,3,1,,0,0.5,0,0
4143154792,1538222465,true,97,113331514,World Electronic Sports Games 2018-2019,2,1,7,2234,71,11,318,362,5480,7437,46,256,13,20.0618,0,0,9,2,5,3,3,,0,0.615385,0,0
4143154792,1538222465,true,83,93473848,World Electronic Sports Games 2018-2019,0,2,7,1002,21,3,223,222,4495,1517,200,2634,9,12.5635,8,9,13,4,4,4,4,,0,0.461538,0,0
4143154792,1538222465,true,95,175463659,World Electronic Sports Games 2018-2019,9,0,1,2129,231,39,715,680,14880,12985,7768,0,18,2.36614,0,0,3,1,0,1,1,,0,0.769231,6,1
4143154792,1538222465,true,101,132739889,World Electronic Sports Games 2018-2019,2,5,2,596,98,24,374,389,8440,13494,0,0,13,0,0,0,0,0,4,2,2,,0,0.307692,0,0
4143154792,1538222465,true,110,145065875,World Electronic Sports Games 2018-2019,0,4,5,4,36,4,245,370,5520,9000,15,540,13,2.53271,3,2,8,3,4,3,3,,0,0.384615,0,0
4143913364,1538248117,false,110,93552791,World Electronic Sports Games 2018-2019,3,6,9,1,52,5,282,355,7395,11574,71,557,16,5.00854,3,1,0,0,5,3,3,,0,0.666667,0,0
4143913364,1538248117,false,84,112250781,World Electronic Sports Games 2018-2019,1,9,9,1453,22,2,243,272,6305,8937,28,92,13,23.4717,12,18,0,0,4,1,1,,0,0.555556,0,0
4143913364,1538248117,false,17,87586992,World Electronic Sports Games 2018-2019,3,5,5,869,233,11,463,539,13945,9985,320,0,20,11.6561,0,1,2,1,2,2,2,,0,0.444444,1,0
4143913364,1538248117,false,45,130801103,World Electronic Sports Games 2018-2019,9,5,6,3094,140,5,436,433,11050,18648,3504,0,18,2.50854,0,1,0,0,6,3,3,,0,0.833333,2,0
